Category,Test_Name,PHMCOLD_high,PHMHOT_high,CLASSCOLD_high,CLASSHOT_high,ALL_high,PHMCOLD_low,PHMHOT_low,CLASSCOLD_low,CLASSHOT_low,ALL_low
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_2,-0.5,-0.5,-0.750,-0.650,-0.5,-0.9379662,-0.7786038,-0.9379662,-0.7686038,-0.9379662
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_3,-0.8392147,-0.7140678,-0.8392147,-0.7140678,-0.7140678,-0.9126853,-0.7688242,-0.9126853,-0.7588242,-0.9126853
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_4_2M,-0.4,-0.4,-0.4,-0.5,-0.4,-1.1312415,-0.8241646,-1.1312415,-0.8141646,-1.1312415
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_4_2M_P,-0.4,-0.4,-0.4,-0.5,-0.4,-1.1443628,-0.8241677,-1.1443628,-0.8141677,-1.1443628
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_5,-0.1,-0.1,-0.1,-0.1,-0.1,-1.5,-1.5,-1.5,-1.5,-1.5
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_6_2M,-0.1150361,-0.0557685,-0.1150361,-0.0557685,-0.0557685,-0.8162459,-0.7831275,-0.8162459,-0.7731275,-0.8162459
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_6_2M_P,-0.2786914,-0.2615746,-0.2786914,-0.2615746,-0.2615746,-0.6633106,-0.5858654,-0.6633106,-0.5758654,-0.6633106
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_7,-0.1733144,-0.130967,-0.1733144,-0.130967,-0.130967,-0.5951936,-0.530621,-0.5951936,-0.520621,-0.5951936
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_7_P,-0.1733144,-0.1857802,-0.1733144,-0.1857802,-0.1857802,-0.5951936,-0.5039218,-0.5951936,-0.4939218,-0.5951936
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_8_2M,-0.1,-0.1,-0.1,-0.613,-0.1,-1.5,-1.5,-1.5,-0.912,-1.5
